Region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Pais,-32.8,-35.0,-33.3,-34.0,-29.7,-31.1,-31.0,-29.7,-27.1,-28.1,-20.4,-21.7,-25.5
Región de Arica y Parinacota,-32.6,-37.6,-42.3,-19.7,-26.7,-26.8,-26.7,-33.5,-28.0,-25.5,-11.4,-29.6,-24.5
Región de Tarapacá,-39.1,-28.8,-32.8,-31.2,-35.9,-32.0,-31.1,-30.5,-25.4,-20.6,-30.7,-30.8,-34.5
Región de Antofagasta,-44.3,-40.5,-41.8,-45.6,-41.8,-42.0,-38.6,-45.6,-40.0,-42.4,-40.7,-31.2,-40.4
Región de Atacama,-39.3,-32.9,-37.0,-35.3,-28.0,-37.8,-39.0,-33.7,-37.7,-39.7,-29.3,-26.8,-34.4
Región de Coquimbo,-33.6,-34.4,-35.7,-37.9,-33.6,-34.6,-28.4,-34.8,-32.1,-28.2,-10.5,-29.6,-32.6
Región de Valparaíso,-37.8,-43.5,-38.4,-33.0,-27.2,-31.7,-33.0,-33.9,-30.1,-33.5,-22.0,-23.7,-22.9
Region Metropolitana de Santiago,-34.3,-37.2,-36.0,-38.1,-31.0,-32.6,-33.6,-31.5,-29.3,-29.6,-21.0,-21.4,-25.2
Región de Libertador Gral. Bernardo O'Higgins,-34.2,-25.3,-27.1,-31.0,-26.8,-30.6,-29.2,-17.6,-16.1,-19.0,-17.8,-31.0,-26.2
Región de Maule,-25.5,-24.0,-24.0,-25.6,-28.6,-26.7,-25.8,-27.0,-20.1,-22.4,-15.6,-14.7,-14.6
Región de Ñuble,-14.4,-31.3,-23.7,-18.5,-17.5,-21.1,-10.0,-12.3,-19.3,-22.9,-10.2,-21.7,-17.0
Región de Biobío,-26.5,-33.8,-27.6,-30.2,-31.0,-30.3,-31.9,-25.2,-24.9,-26.9,-17.7,-21.6,-25.4
Región de La Araucanía,-26.6,-34.7,-28.9,-23.2,-21.1,-22.3,-25.0,-22.8,-19.4,-12.0,-18.0,-15.8,-19.5
Región de Los Ríos,-26.3,-27.2,-30.7,-23.2,-19.6,-21.0,-23.7,-18.2,-14.3,-26.4,-12.8,-20.0,-26.2
Región de Los Lagos,-27.0,-21.5,-28.1,-27.9,-32.5,-29.8,-21.5,-27.8,-21.0,-18.8,-11.6,-12.2,-27.9
Región de Aysén del Gral. Carlos Ibáñez del Campo,-33.0,-30.8,-33.5,-32.4,-31.9,-27.8,-26.8,-24.5,-20.6,-7.8,-9.5,-21.4,-29.1
Región de Magallanes y La Antártica Chilena,-47.9,-46.1,-25.1,-18.2,-21.2,-20.7,-19.1,-24.0,-23.8,-26.7,-32.2,-19.8,-21.6
